****                   ADMIXTURE Version 1.3.1                  ****
****                    Copyright 2008-2025                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John Novembre, Ken Lange                    ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at https://dalexander.github.io/admixture/   ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 1 threads.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 2504x32319
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 7.623	Loglikelihood: -3.6874e+07	(delta): 8.15423e+07
2 (EM) 	Elapsed: 7.675	Loglikelihood: -3.45104e+07	(delta): 2.36352e+06
3 (EM) 	Elapsed: 7.614	Loglikelihood: -3.42649e+07	(delta): 245482
4 (EM) 	Elapsed: 7.602	Loglikelihood: -3.4154e+07	(delta): 110960
5 (EM) 	Elapsed: 7.548	Loglikelihood: -3.40747e+07	(delta): 79290.7
Initial loglikelihood: -3.40747e+07
Starting main algorithm
1 (QN/Block) 	Elapsed: 15.834	Loglikelihood: -3.06321e+07	(delta): 3.44255e+06
2 (QN/Block) 	Elapsed: 15.583	Loglikelihood: -2.9928e+07	(delta): 704125
3 (QN/Block) 	Elapsed: 16.633	Loglikelihood: -2.97257e+07	(delta): 202308
4 (QN/Block) 	Elapsed: 17.822	Loglikelihood: -2.96083e+07	(delta): 117438
5 (QN/Block) 	Elapsed: 18.324	Loglikelihood: -2.9559e+07	(delta): 49224.4
6 (QN/Block) 	Elapsed: 18.271	Loglikelihood: -2.9546e+07	(delta): 13030.6
7 (QN/Block) 	Elapsed: 16.926	Loglikelihood: -2.95395e+07	(delta): 6488.4
8 (QN/Block) 	Elapsed: 17.24	Loglikelihood: -2.95355e+07	(delta): 4053.81
9 (QN/Block) 	Elapsed: 17.625	Loglikelihood: -2.95319e+07	(delta): 3580.91
10 (QN/Block) 	Elapsed: 17.122	Loglikelihood: -2.95276e+07	(delta): 4322.66
11 (QN/Block) 	Elapsed: 17.099	Loglikelihood: -2.95243e+07	(delta): 3239.94
12 (QN/Block) 	Elapsed: 17.853	Loglikelihood: -2.95211e+07	(delta): 3209.07
13 (QN/Block) 	Elapsed: 17.113	Loglikelihood: -2.95192e+07	(delta): 1892.12
14 (QN/Block) 	Elapsed: 16.724	Loglikelihood: -2.95157e+07	(delta): 3499.4
15 (QN/Block) 	Elapsed: 16.539	Loglikelihood: -2.95138e+07	(delta): 1968.55
16 (QN/Block) 	Elapsed: 16.965	Loglikelihood: -2.95124e+07	(delta): 1334.56
17 (QN/Block) 	Elapsed: 16.709	Loglikelihood: -2.95114e+07	(delta): 1026.47
